business_type,business_age_months,location_type,state,num_employees,store_size_sqm,foot_traffic_daily,has_online_presence,uses_pos,marketing_spend_naira,inventory_value_naira,num_products,average_product_price_naira,month,customer_retention_rate,has_loyalty_program,accepts_credit_cards,opening_hours_per_day,competition_nearby,has_parking,monthly_sales_thousands
Retail_Shop,97,Street_Shop,Ibadan,13,192,386,0,1,123900,896245,239,8687,July,65,0,0,15,7,1,8521.14
Pharmacy,115,Shopping_Mall,Port_Harcourt,5,43,484,1,1,159143,4707640,139,1545,December,46,1,1,10,7,0,43308.52
Supermarket,14,Market,Ibadan,9,111,34,0,1,90610,3203402,349,9986,February,63,0,0,12,9,1,9845.95
Restaurant,75,Market,Kano,18,166,27,1,0,156035,836631,33,25369,November,56,0,0,13,2,0,11931.93
Retail_Shop,56,Shopping_Mall,Enugu,5,17,336,1,0,134044,457451,152,17906,January,87,0,1,8,7,0,9193.91
Restaurant,8,Market,Port_Harcourt,3,45,485,1,1,144522,270274,171,35643,April,92,0,0,14,5,0,10815.96
Electronics,39,Shopping_Mall,Enugu,4,175,263,0,1,136010,3803921,250,18670,May,64,0,0,15,7,0,12402.72
Restaurant,89,Shopping_Mall,Ibadan,1,112,242,1,1,189171,2195198,116,12538,June,51,1,0,12,3,0,16288.25
Electronics,88,Market,Abuja,15,132,481,1,1,97544,3863599,204,31213,October,86,0,0,8,5,1,24747.64
Retail_Shop,11,Shopping_Mall,Lagos,9,163,398,1,1,176277,575140,361,786,May,69,1,0,14,9,1,8058.41
Supermarket,91,Market,Ibadan,11,85,165,1,0,74103,1137075,496,1652,August,83,0,1,15,1,1,12091.87
Supermarket,18,Shopping_Mall,Ibadan,4,25,388,0,1,173594,2320162,103,22053,January,79,1,0,14,9,0,12544.79
Retail_Shop,58,Market,Enugu,18,29,499,1,1,66714,3568207,440,49292,July,75,0,0,8,8,1,25894.79
Retail_Shop,117,Shopping_Mall,Abuja,10,123,243,0,1,103040,1721438,113,34270,September,75,0,0,8,1,0,7983.21
Retail_Shop,20,Market,Ibadan,11,152,212,0,1,154652,1316192,370,13656,March,91,0,1,15,7,0,12940.55
Supermarket,47,Street_Shop,Enugu,9,83,435,0,1,12414,3470285,357,36292,January,94,0,0,15,7,0,11937.87
Salon,13,Estate,Port_Harcourt,19,13,408,0,1,126730,635656,367,15099,February,73,0,1,9,1,1,6113.33
Electronics,48,Street_Shop,Enugu,12,15,202,1,0,178142,2082942,220,49483,August,94,0,1,14,3,1,19399.78
Electronics,45,Estate,Lagos,9,120,454,0,1,73089,2818539,171,16816,April,79,1,0,8,0,0,20125.9
Supermarket,76,Shopping_Mall,Port_Harcourt,7,154,163,1,1,102516,1111469,493,1267,July,75,0,1,11,5,0,12076.88
Pharmacy,32,Market,Ibadan,2,26,328,0,0,22855,1765386,366,37347,April,69,0,0,10,2,0,11158.98
Salon,23,Market,Kano,9,93,478,1,0,150840,495595,360,16282,November,66,1,1,12,5,0,13347.73
Fashion_Store,106,Shopping_Mall,Lagos,17,197,367,1,1,153296,4153961,319,45205,January,51,0,0,8,2,0,19841.7
Salon,20,Street_Shop,Ibadan,11,63,178,1,1,86107,3927346,269,2896,September,81,0,0,13,4,1,17494.53
Fashion_Store,52,Street_Shop,Kano,15,100,348,1,1,100782,4320831,133,27165,April,72,0,0,12,9,0,26251.73
Fashion_Store,64,Market,Enugu,15,197,198,1,1,61044,265785,358,18347,October,51,0,1,13,4,0,8840.04
Restaurant,54,Street_Shop,Port_Harcourt,5,138,462,0,1,55662,4650534,257,17405,February,69,0,1,13,9,0,14561.26
Fashion_Store,34,Street_Shop,Abuja,13,193,389,1,0,67439,530280,199,19227,December,83,0,0,9,5,0,7758.83
Supermarket,34,Estate,Kano,13,162,369,1,1,196831,2674725,127,16933,February,35,1,0,12,4,0,15957.19
